ID,TYPE,Publication,Latitude,Longitude,Species_numbers,Rows,Columns,Publicaiton_Year
M_PL_017,Pollination,One network per publication,51.574994,-2.589902,104,25,79,1999
M_PL_019,Pollination,One network per publication,-36.45,148.266667,123,39,84,1988
M_PL_024,Pollination,One network per publication,75,-114.966667,22,8,14,1967
M_PL_025,Pollination,One network per publication,36.075391,-79.001843,57,13,44,1982
M_PL_033,Pollination,One network per publication,45.4,-75.5,47,13,34,1976
M_PL_044,Pollination,One network per publication,28.377248,129.493741,712,107,605,2000
M_PL_045,Pollination,One network per publication,71,-52,41,16,25,2005
M_PL_051,Pollination,One network per publication,-41.077069,-71.525206,104,14,90,2002
M_PL_054,Pollination,One network per publication,35.033333,135.783333,414,106,308,1990
M_PL_055,Pollination,One network per publication,35.65,136.083333,253,61,192,1996
M_PL_056,Pollination,One network per publication,35.583333,138.383333,456,91,365,1993
M_PL_057,Pollination,One network per publication,35.166667,135.866667,997,114,883,1990
M_PL_058,Pollination,One network per publication,42.2973,3.235217,111,31,80,2008
M_PL_059,Pollination,One network per publication,-8.505,-37.201389,26,13,13,2009
M_PL_060_01,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,50,11,39,2010
M_PL_060_02,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,50,12,38,2010
M_PL_060_03,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,58,13,45,2010
M_PL_060_04,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,67,21,46,2010
M_PL_060_05,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,85,32,53,2010
M_PL_060_06,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,69,25,44,2010
M_PL_060_07,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,68,29,39,2010
M_PL_060_08,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,47,19,28,2010
M_PL_060_09,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,56,17,39,2010
M_PL_060_10,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,35,12,23,2010
M_PL_060_11,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,34,14,20,2010
M_PL_060_12,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,35,10,25,2010
M_PL_060_13,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,36,6,30,2010
