"species","networks"
"Dolichandra unguis-cati","M_PL_074_04"
"Dombeya wallichii","M_PL_074_08"
"Doratoxylon apetalum","M_PL_060_05; M_PL_060_14"
"Dorychnium pentaphylum","M_PL_058"
"Dracaena reflexa","M_PL_060_04; M_PL_060_05; M_PL_060_16; M_PL_061_37"
"Dryas integrifolia","M_PL_024; M_PL_045"
"Drymonia brochidodroma","M_PL_074_02"
"Drymonia collegarum","M_PL_074_02"
"Drymonia semicordata","M_PL_071"
"Drymonia tenuis","M_PL_074_02; M_PL_074_05"
"Drymonia teuscheri","M_PL_074_02; M_PL_074_05"
"Duchesnea chrysantha","M_PL_057"
"Dunalia brachyacantha","M_PL_074_12"
"Dyssochroma viridiflora","M_PL_074_10"
"Edgeworthia chrysantha","M_PL_054"
"Edmundoa lindenii","M_PL_063"
"Elaeagnus montana","M_PL_056"
"Elaeagnus multiflora","M_PL_054"
"Elaeocarpus japonicus","M_PL_044"
"Elaeocarpus sylvestris","M_PL_044"
"Elleanthus aurantiacus","M_PL_074_03; M_PL_074_16"
"Elleanthus brasiliensis","M_PL_074_10"
"Embelia angustifolia","M_PL_060_09; M_PL_060_10; M_PL_060_24"
"Encholirium spectabile","M_PL_067"
"Encholirium subsecundum","M_PL_074_09; M_PL_074_17"
"Enkianthus campanulatus","M_PL_056"
"Enkianthus perulatus","M_PL_054"
"Epacris microphylla","M_PL_019"
"Epacris petrophila","M_PL_019"
"Epidendrum radicans","M_PL_074_15"
"Epilobium gunnianum","M_PL_019"
"Epilobium latifolium","M_PL_045"
"Equium sabulicola","M_PL_058"
"Eremanthus bicolor","M_PL_074_09"
"Eremanthus crotonoides","M_PL_074_17"
"Eremanthus erythropappus","M_PL_074_17"
"Eriobotrya japonica","M_PL_057"
"Eriotheca pentaphylla","M_PL_074_08; M_PL_074_13"
"Eryngium campestre","M_PL_058"
"Erysimum cheiranthoides","M_PL_073"
"Erythrina corallodendron","M_PL_074_04"
"Erythrina fusca","M_PL_074_04; M_PL_074_06"
"Erythrina lanata","M_PL_065"
"Erythrina megistophylla","M_PL_074_02; M_PL_074_05"
"Erythrina poeppigiana","M_PL_074_04"
"Erythrina rubrinervia","M_PL_074_16"
"Erythrina speciosa","M_PL_063; M_PL_074_07; M_PL_074_08; M_PL_074_13"
"Erythronium umbilicatum","M_PL_025"
"Erythrospermum monticolum","M_PL_060_05; M_PL_060_06; M_PL_060_07"
"Erythroxylum macrocarpum","M_PL_060_01; M_PL_060_02; M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_13; M_PL_060_14; M_PL_060_15; M_PL_060_16; M_PL_060_17; M_PL_060_23"
"Erythroxylum sechellarum","M_PL_061_02; M_PL_061_03; M_PL_061_04; M_PL_061_05; M_PL_061_06; M_PL_061_08; M_PL_061_09; M_PL_061_10; M_PL_061_11; M_PL_061_13; M_PL_061_14; M_PL_061_16; M_PL_061_17; M_PL_061_18; M_PL_061_19; M_PL_061_20; M_PL_061_21; M_PL_061_22; M_PL_061_24; M_PL_061_26; M_PL_061_27; M_PL_061_29; M_PL_061_32; M_PL_061_35; M_PL_061_36; M_PL_061_37; M_PL_061_38; M_PL_061_40; M_PL_061_44; M_PL_061_45; M_PL_061_46; M_PL_061_47; M_PL_061_48"
"Erythroxylum vaccinifolium","M_PL_074_17"
"Esterhazya nanuzae","M_PL_074_09"
"Esterhazya splendida","M_PL_074_17"
"Eucalyptus globulus","M_PL_074_16"
"Eugenia orbiculata","M_PL_060_07; M_PL_060_19"
"Euodia chapelieri","M_PL_060_05; M_PL_060_06; M_PL_060_07; M_PL_060_08; M_PL_060_09; M_PL_060_19; M_PL_060_21; M_PL_060_22"
"Euodia meliifolia","M_PL_044"
"Euodia obtusifolia","M_PL_060_07; M_PL_060_08; M_PL_060_10; M_PL_060_11; M_PL_060_19; M_PL_060_20"
"Euonymus alatus","M_PL_057"
"Euonymus fo rtunei","M_PL_054"
"Euonymus macropterus","M_PL_056"
"Euonymus sieboldianus","M_PL_056"
"Eupatorium cannabinum","M_PL_017"
"Eupatorium chinense","M_PL_055; M_PL_056; M_PL_057"
"Eupatorium coelestinum","M_PL_073"
"Eupatorium lindleyanum","M_PL_055"
"Eupatorium purpureum","M_PL_073"
"Euphorbia pyrifolia","M_PL_061_30"
"Euphorbia segatalis","M_PL_058"
"Euphrasia collina","M_PL_019"
"Euphrasia maximowiczii","M_PL_056"
"Euphrasia officinalis","M_PL_017"
"Euptelea polyandra","M_PL_057"
"Euscaphis japonica","M_PL_044"
"Eusteratis yatabeana","M_PL_055"
"Excoecaria benthiamiana","M_PL_061_15; M_PL_061_23; M_PL_061_24; M_PL_061_45; M_PL_061_46"
"Farfugium joponicum","M_PL_044"
"Fatsia japonica","M_PL_054"
"Faujasiopsis flexuosa","M_PL_060_05; M_PL_060_06; M_PL_060_16; M_PL_060_17; M_PL_060_18"
"Ferdinandusa sprucei","M_PL_071"
"Filipendula multifuga","M_PL_056"
"Filipendula ulmaria","M_PL_007"
"Flagellaria indica","M_PL_060_04; M_PL_060_05; M_PL_060_07; M_PL_060_16"
"Fragaria nipponica","M_PL_056"
"Fraxinus griffithii","M_PL_054"
"Fridericia craterophora","M_PL_074_11"
"Fridericia speciosa","M_PL_064"
"Fuchsia corollata","M_PL_068"
"Fuchsia decussata","M_PL_074_12"
"Fuchsia macrostigma","M_PL_074_01; M_PL_074_02"
"Fuchsia paniculata","M_PL_074_14; M_PL_074_15"
"Fuchsia regia","M_PL_063; M_PL_069_01; M_PL_074_10"
"Fuchsia venusta","M_PL_074_03"
"Gaertnera petrinensis","M_PL_060_07; M_PL_060_08"
"Gaertnera rotundifolia","M_PL_060_06; M_PL_060_07; M_PL_060_08; M_PL_060_18"
"Gaiadendron punctatum","M_PL_068; M_PL_074_12"
"Galactites tomentosa","M_PL_058"
"Galium trifidum","M_PL_055"
"Galium verum","M_PL_007"
"Gasteranthus calcaratus","M_PL_074_03"
"Gasteranthus lateralis","M_PL_074_02"
"Gasteranthus pansamalanus","M_PL_074_02"
"Gasteranthus quitensis","M_PL_074_02; M_PL_074_05"
"Gastonia crassa","M_PL_061_19; M_PL_061_20; M_PL_061_23; M_PL_061_45; M_PL_061_47; M_PL_061_48"
"Gaultheria acuminata","M_PL_074_15"
"Gaultheria bracteata","M_PL_074_12"
"Gaultheria erecta","M_PL_068"
"Gaultheria insipida","M_PL_068"
"Gavilea odoratissima","M_PL_051"
"Gaylussacia baccata","M_PL_033"
"Gaylussacia brasiliensis","M_PL_074_09; M_PL_074_17"
"Gaylussacia montana","M_PL_074_17"
"Gaylussacia oleifolia","M_PL_074_17"
"Gaylussacia virgata","M_PL_074_09"
"Geissomeria schottiana","M_PL_064"
"Geniostoma borbonicum","M_PL_060_01; M_PL_060_02"
"Genipa americana","M_PL_074_06"
"Gentianella diemensis","M_PL_019"
"Gentianella fruticulosa","M_PL_074_12"
"Gentianella violacea","M_PL_074_12"
"Geranium eriostemon","M_PL_056"
"Geranium nepalense","M_PL_057"
"Geum japonicum","M_PL_057"
"Geum rossii","M_PL_024"
"Glechoma hederacea","M_PL_057"
"Glionnetia sericea","M_PL_061_18"
"Glochidion acuminatum","M_PL_044"
"Glochidion obovatum","M_PL_044"
"Glochidion zeylanicum","M_PL_044"
"Glossoloma baguense","M_PL_074_03"
"Glossoloma bolivianum","M_PL_074_01"
"Glossoloma ichthyoderma","M_PL_074_03"
"Glossoloma oblongicalyx","M_PL_074_02"
"Glossoloma purpureum","M_PL_074_05"
"Glossoloma schultzei","M_PL_074_03"
"Gonzalagunia hirsuta","M_PL_074_04"
"Gordonia fruticosa","M_PL_074_17"
"Grangeria borbonica","M_PL_060_05; M_PL_060_06; M_PL_060_07; M_PL_060_18; M_PL_060_19; M_PL_060_22"
"Greigia macbrideana","M_PL_074_12"
"Groton suberosus","M_PL_065"
"Gurania lobata","M_PL_074_04; M_PL_074_06"
"Gurania rhizantha","M_PL_074_06"
