"species","networks"
"Coprosma repens","Garcia_2014_Charles_Plimmer; Garcia_2014_Zealandia"
"Coprosma rhamnoides","MacFarlane_2016; Wyman_2017"
"Coprosma robusta","Burns_2013; Garcia_2014_Blue_Duck; Garcia_2014_Charles_Plimmer; Garcia_2014_George_Denton; Garcia_2014_Mount_Fyfee_Reserve; Garcia_2014_Puhi_Puhi_River; Garcia_2014_Zealandia; MacFarlane_2016; Williams_1996_Eves; Williams_1996_Marsden; Wyman_2017"
"Coprosma rotundifolia","Odonnell_1994; Williams_1996_Eves"
"Cordia alba","Ramos_Robles_2016_net10"
"Cordia bicolor","M_SD_010_single_partners_added"
"Cordia curassavica","de_Oliveira_1999; M_SD_010_single_partners_added"
"Cordia dichotoma","David_2011_tree_focal_watches"
"Cordia leucophlyctis","Nogales_2017"
"Cordia lutea","Nogales_2017"
"Cordia sulcata","M_SD_004"
"Cordiera sessilis","Lessa_2013"
"Cordyline australis","Williams_1996_Marsden; Wyman_2017"
"Coriaria arborea","Burns_2013; Garcia_2014_George_Denton; Garcia_2014_Mount_Fyfee_Reserve; Odonnell_1994; Williams_1996_Marsden; Wyman_2017"
"Cornus controversa","Koike_2008"
"Cornus florida","M_SD_001"
"Cornus kousa subsp  kousa","Koike_2008"
"Cornus sanguinea","Albrecht_111_2011; Albrecht_111_2012; Albrecht_315_2011; Albrecht_315_2012; Fuentes_1994; Snow_1988_DJF; Snow_1988_JJA; Snow_1988_SON"
"Corynephorus canescens","Jaroszewicz_2013"
"Coscinium fenestratum","Jayasekara_2003; Jayasekara_2007"
"Costus spicatus","Machado_de_Souza_2019"
"Cota tinctoria","Jaroszewicz_2013"
"Cotoneaster granatensis","M_SD_020"
"Couma utilis","Dos_Reis_1983_Cult_et_form_sec"
"Coussapoa microcarpa","Machado_de_Souza_2019"
"Coussapoa oligocephala","Castro_Luna_2012"
"Coussapoa parvifolia","Gorchov_1995"
"Coussapoa villosa","Garcia_Morales_2012; Gorchov_1995"
"Coussarea paniculata","M_SD_010_single_partners_added"
"Crataegus monogyna","Albrecht_13_2012; Albrecht_15_2012; Albrecht_30_2012; Fuentes_1994; Garcia_2014_Charles_Plimmer; Garcia_2014_Puhi_Puhi_River; Garcia_2016; M_SD_020; MacFarlane_2016; Peredo_2013_Pto_de_San_Lorenzo; Peredo_2013_Puertos_de_Marabio; Snow_1988_DJF; Snow_1988_JJA; Snow_1988_MAM; Snow_1988_SON; Sorensen_1981; Williams_1996_Eves"
"Crateva religiosa","Hovestadt_1997"
"Crateva tapia","Ramos_Robles_2016_net8"
"Cremaspora triflora","Engel_2000"
"Critoniopsis floribunda","Quitian_2018_2000Fragmented"
"Crossopteryx febrifuga","Engel_2000"
"Crotalaria pumila","Nogales_2017"
"Croton rusbyi","Dehling_2017_San_Pedro_1"
"Croton schiedeanus","Gorchov_1995"
"Croton scouleri","Nogales_2017"
"Croton sylvaticus","Engel_2000"
"Cruciata glabra","Jaroszewicz_2013"
"Cryptocarpus pyriformis","Nogales_2017"
"Cryptocarya aschersoniana","Machado_de_Souza_2019"
"Cryptocarya impressa","Suzuki_2007"
"Cryptocarya moschata","Castro_2015"
"Cryptomeria japonica","M_SD_031"
"Cucumis melo","Engel_2000"
"Culcasia falcifolia","M_SD_034"
"Cullenia rosayroana","Jayasekara_2003; Jayasekara_2007"
