species,networks,Taxonomy,Notes
Chilicola sp3 M_PL_051,M_PL_051,Genus,
Chironomidae sp1 M_PL_060,M_PL_060_01,Family,
Chloromerus sp1 M_PL_019,M_PL_019,Genus,
Choragus sp1 M_PL_044,M_PL_044,Genus,
Chrysocharis sp1 M_PL_056,M_PL_056,Genus,
Chrysogaster sp1 M_PL_006,M_PL_006,Genus,
Chrysopa sp1 M_PL_044,M_PL_044,Genus,
Chrysopa sp2 M_PL_044,M_PL_044,Genus,
Cicadellidae sp1 M_PL_060,M_PL_060_01,Family,
Cixiidae sp1 M_PL_073,M_PL_060_14,Family,
Cixiidae sp1 M_PL_077,M_PL_060_18,Family,
Coenosia sp1 M_PL_019,M_PL_019,Genus,
Coenosia sp2 M_PL_019,M_PL_019,Genus,
Coleoptera sp1 M_PL_017,M_PL_017,Order,
Coleoptera sp17 M_PL_013,M_PL_013,Order,
Coleoptera sp18 M_PL_013,M_PL_013,Order,
Coleoptera sp19 M_PL_013,M_PL_013,Order,
Coleoptera sp2 M_PL_017,M_PL_017,Order,
Coleoptera sp23 M_PL_051,M_PL_051,Order,
Coleoptera sp24 M_PL_051,M_PL_051,Order,
Coleoptera sp3 M_PL_017,M_PL_017,Order,
Coleoptera sp33 M_PL_051,M_PL_051,Order,
Coleoptera sp34 M_PL_051,M_PL_051,Order,
Coleoptera sp35 M_PL_051,M_PL_051,Order,
Coleoptera sp36 M_PL_051,M_PL_051,Order,
Coleoptera sp4 M_PL_017,M_PL_017,Order,
Coleoptera sp4 M_PL_085,M_PL_061_02,Order,
Coleoptera sp5 M_PL_017,M_PL_017,Order,
Coleoptera sp5 M_PL_085,M_PL_061_02,Order,
Coleoptera sp5 M_PL_104,M_PL_061_21,Order,
Coleoptera sp6 M_PL_017,M_PL_017,Order,
Coleoptera sp7 M_PL_017,M_PL_017,Order,
Coleoptera sp7 M_PL_101,M_PL_061_18,Order,
Coleoptera sp8 M_PL_051,M_PL_051,Order,
Colletes sp1 M_PL_054,M_PL_054,Genus,
Colletes sp1 M_PL_058,M_PL_058,Genus,
Colletes sp2 M_PL_054,M_PL_054,Genus,
Coreidae sp21 M_PL_013,M_PL_013,Family,
Corynura sp1 M_PL_051,M_PL_051,Genus,
Cossonus sp1 M_PL_044,M_PL_044,Genus,
Cotesia sp1 M_PL_073,M_PL_060_14,Genus,
Crabro sp1 M_PL_004,M_PL_004,Genus,
Crabro sp1 M_PL_057,M_PL_057,Genus,
Criptocephalus sp1 M_PL_058,M_PL_058,Genus,Spelling mistake
Crossocerus sp1 M_PL_056,M_PL_056,Genus,
Cryptinae sp1 M_PL_063,M_PL_060_04,Subfamily,
Cryptocephalinae sp1 M_PL_076,M_PL_060_17,Subfamily,
Cyphicerus sp1 M_PL_044,M_PL_044,Genus,
Cyphon sp1 M_PL_044,M_PL_044,Genus,
Cyphon sp1 M_PL_055,M_PL_055,Genus,
Dacus sp1 M_PL_013,M_PL_013,Genus,
Dalopius sp1 M_PL_004,M_PL_004,Genus,
Dasyphora sp1 M_PL_055,M_PL_055,Genus,
Dasytinae sp1 M_PL_061,M_PL_060_02,Subfamily,
Delia sp1 M_PL_045,M_PL_045,Genus,
Dermaptera sp8 M_PL_057,M_PL_057,Order,
Desmometopa sp1 M_PL_044,M_PL_044,Genus,
Dialictus sp1 M_PL_004,M_PL_004,Subgenus,
Dienerella sp1 M_PL_055,M_PL_055,Genus,
Dienerella sp2 M_PL_055,M_PL_055,Genus,
Dilophus sp1 M_PL_019,M_PL_019,Genus,
Diostracus sp1 M_PL_019,M_PL_019,Genus,
Diphtheroptila sp1 M_PL_044,M_PL_044,Genus,
Diptera sp1 M_PL_013,M_PL_013,Order,
Diptera sp1 M_PL_062,M_PL_060_03,Order,
Diptera sp1 M_PL_084,M_PL_061_01,Order,
Diptera sp1 M_PL_085,M_PL_061_02,Order,
Diptera sp1 M_PL_086,M_PL_061_03,Order,
Diptera sp1 M_PL_087,M_PL_061_04,Order,
Diptera sp1 M_PL_088,M_PL_061_05,Order,
Diptera sp1 M_PL_089,M_PL_061_06,Order,
Diptera sp1 M_PL_090,M_PL_061_07,Order,
Diptera sp1 M_PL_091,M_PL_061_08,Order,
Diptera sp1 M_PL_092,M_PL_061_09,Order,
Diptera sp1 M_PL_093,M_PL_061_10,Order,
Diptera sp1 M_PL_094,M_PL_061_11,Order,
Diptera sp1 M_PL_095,M_PL_061_12,Order,
Diptera sp1 M_PL_096,M_PL_061_13,Order,
Diptera sp1 M_PL_097,M_PL_061_14,Order,
Diptera sp1 M_PL_099,M_PL_061_16,Order,
Diptera sp1 M_PL_101,M_PL_061_18,Order,
Diptera sp1 M_PL_102,M_PL_061_19,Order,
Diptera sp1 M_PL_104,M_PL_061_21,Order,
Diptera sp1 M_PL_105,M_PL_061_22,Order,
Diptera sp1 M_PL_107,M_PL_061_24,Order,
Diptera sp1 M_PL_108,M_PL_061_25,Order,
Diptera sp1 M_PL_111,M_PL_061_28,Order,
Diptera sp1 M_PL_114,M_PL_061_31,Order,
Diptera sp1 M_PL_115,M_PL_061_32,Order,
Diptera sp1 M_PL_118,M_PL_061_35,Order,
Diptera sp1 M_PL_119,M_PL_061_36,Order,
Diptera sp1 M_PL_121,M_PL_061_38,Order,
Diptera sp1 M_PL_126,M_PL_061_43,Order,
Diptera sp1 M_PL_127,M_PL_061_44,Order,
Diptera sp1 M_PL_128,M_PL_061_45,Order,
Diptera sp1 M_PL_129,M_PL_061_46,Order,
Diptera sp1 M_PL_130,M_PL_061_47,Order,
Diptera sp10 M_PL_017,M_PL_017,Order,
Diptera sp11 M_PL_017,M_PL_017,Order,
Diptera sp12 M_PL_017,M_PL_017,Order,
Diptera sp13 M_PL_017,M_PL_017,Order,
Diptera sp15 M_PL_017,M_PL_017,Order,
Diptera sp16 M_PL_017,M_PL_017,Order,
Diptera sp17 M_PL_017,M_PL_017,Order,
Diptera sp18 M_PL_017,M_PL_017,Order,
Diptera sp19 M_PL_017,M_PL_017,Order,
Diptera sp19 M_PL_051,M_PL_051,Order,
Diptera sp2 M_PL_013,M_PL_013,Order,
Diptera sp2 M_PL_072,M_PL_060_13,Order,
Diptera sp2 M_PL_094,M_PL_061_11,Order,
Diptera sp2 M_PL_100,M_PL_061_17,Order,
Diptera sp2 M_PL_102,M_PL_061_19,Order,
Diptera sp2 M_PL_103,M_PL_061_20,Order,
Diptera sp2 M_PL_112,M_PL_061_29,Order,
Diptera sp2 M_PL_123,M_PL_061_40,Order,
Diptera sp2 M_PL_126,M_PL_061_43,Order,
Diptera sp2 M_PL_128,M_PL_061_45,Order,
Diptera sp2 M_PL_131,M_PL_061_48,Order,
Diptera sp20 M_PL_017,M_PL_017,Order,
Diptera sp21 M_PL_017,M_PL_017,Order,
Diptera sp22 M_PL_017,M_PL_017,Order,
Diptera sp23 M_PL_017,M_PL_017,Order,
Diptera sp24 M_PL_017,M_PL_017,Order,
Diptera sp25 M_PL_017,M_PL_017,Order,
Diptera sp26 M_PL_017,M_PL_017,Order,
Diptera sp27 M_PL_017,M_PL_017,Order,
Diptera sp28 M_PL_017,M_PL_017,Order,
Diptera sp28 M_PL_051,M_PL_051,Order,
Diptera sp29 M_PL_017,M_PL_017,Order,
Diptera sp3 M_PL_013,M_PL_013,Order,
Diptera sp3 M_PL_084,M_PL_061_01,Order,
Diptera sp3 M_PL_085,M_PL_061_02,Order,
Diptera sp3 M_PL_086,M_PL_061_03,Order,
Diptera sp3 M_PL_087,M_PL_061_04,Order,
Diptera sp3 M_PL_093,M_PL_061_10,Order,
Diptera sp3 M_PL_100,M_PL_061_17,Order,
Diptera sp3 M_PL_111,M_PL_061_28,Order,
Diptera sp3 M_PL_119,M_PL_061_36,Order,
Diptera sp3 M_PL_122,M_PL_061_39,Order,
Diptera sp3 M_PL_126,M_PL_061_43,Order,
Diptera sp30 M_PL_017,M_PL_017,Order,
Diptera sp31 M_PL_017,M_PL_017,Order,
Diptera sp32 M_PL_017,M_PL_017,Order,
Diptera sp33 M_PL_017,M_PL_017,Order,
Diptera sp34 M_PL_017,M_PL_017,Order,
Diptera sp35 M_PL_017,M_PL_017,Order,
Diptera sp37 M_PL_017,M_PL_017,Order,
