"species","networks"
"Diglossa cyanea","Dehling_2017_San_Pedro_1; Dehling_2017_Wayqecha_1; Dehling_2017_Wayqecha_2; Dehling_2017_Wayqecha_3; Dehling_2017_Wayqecha_4; SAAV1; SAAV2; Zamora_Delgado_2008"
"Diglossa glauca","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2; Dehling_2017_San_Pedro_3"
"Diglossa mystacalis","Dehling_2017_Wayqecha_1"
"Diglossa sittoides","Dehling_2017_Wayqecha_1"
"Diopsittaca nobilis","Marcos_da_Silva_2013"
"Dioptrornis fischeri","Menke_2012_edge_highly_dist"
"Diphyllodes magnificus","M_SD_002; Pratt_1985"
"Dives dives","Ramos_Robles_2016_net6; Ramos_Robles_2016_net7"
"Dryocopus martius","Albrecht_102_2012"
"Ducula aenea","VELHO; VELHO2"
"Ducula badia","Sethi_2012; VELHO; VELHO2"
"Dumetella carolinensis","Blake_1992; Labbe_2011; Malmborg_1988_1980; Malmborg_1988_1981; Malmborg_1988_1982; Palmeirim_1989; Ramos_Robles_2016_net10; Ramos_Robles_2016_net2; Ramos_Robles_2016_net3"
"Eidolon helvum","Engel_2000"
"Elaenia albiceps","Blendinger_2015; Dehling_2017_San_Pedro_2; Dehling_2017_Wayqecha_1; Dehling_2017_Wayqecha_4; Quitian_2018_2000Fragmented; Quitian_2018_2000Natural; Zamora_Delgado_2008"
"Elaenia chiriquensis","Marcos_da_Silva_2013"
"Elaenia cristata","Faustino_2006; Marcos_da_Silva_2013"
"Elaenia flavogaster","Andrade_2011; Athie_2009; de_Oliveira_1999; M_SD_012; Marcos_da_Silva_2013; Robinson_2015"
"Elaenia obscura","Machado_de_Souza_2019; SAAV1"
"Elaenia pallatangae","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_3; Dehling_2017_Wayqecha_1; Dehling_2017_Wayqecha_2; Dehling_2017_Wayqecha_3; SAAV1"
"Elaenia parvirostris","Blendinger_2015"
"Elaenia spectabilis","Athie_2009"
"Elminia longicauda","M_SD_034; Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist"
"Emberiza cabanisi","Hovestadt_1997"
"Emberiza cia","Costa_2013_endozoochory; M_SD_020"
"Emberiza lathami","Palita_2011"
"Empidonax flaviventris","Wolfe_2014"
"Empidonax traillii","Blake_1992; Wolfe_2014"
"Empidonax virescens","Blake_1992; M_SD_033; Ramos_Robles_2016_net3; Ramos_Robles_2016_net8; Wolfe_2014"
"Empidonomus varius","Athie_2009; M_SD_009; SAAV2"
"Enchisthenes hartii","Aguilar_Garavito_2014_mature; Arias_Arone_2016"
"Entomodestes leucotis","Dehling_2017_San_Pedro_2; Dehling_2017_San_Pedro_3; Dehling_2017_San_Pedro_4; SAAV1"
"Epimachus albertisii","M_SD_002"
"Epomophorus wahlbergi","Engel_2000"
"Eremomela pusilla","Daru_2015"
"Eremomela turneri","M_SD_034"
"Erithacus rubecula","Albrecht_102_2012; Albrecht_11_2012; Albrecht_111_2011; Albrecht_111_2012; Albrecht_112_2011; Albrecht_112_2012; Albrecht_13_2012; Albrecht_15_2012; Albrecht_203_2012; Albrecht_30_2012; Albrecht_301_2012; Albrecht_314_2012; Albrecht_315_2011; Albrecht_315_2012; Albrecht_35_2012; Albrecht_36_2012; Costa_2013_endozoochory; Cruz_2013_Autumn; Cruz_2013_Summer; Cruz_2013_Winter; Fuentes_1994; Garcia_2016; M_SD_020; M_SD_031; Snow_1988_DJF; Snow_1988_JJA; Snow_1988_MAM; Snow_1988_SON; Sorensen_1981; Traveset_1992"
"Erpornis zantholeuca","Chen_1999"
"Erythrocebus patas","Hovestadt_1997"
"Estrilda nonnula","M_SD_034"
"Estrilda troglodytes","Hovestadt_1997"
"Eubucco bourcierii","Kessler_Rios_2012; Quitian_2018_1000Fragmented; Quitian_2018_1000Natural"
"Eubucco versicolor","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2; Dehling_2017_San_Pedro_3; SAAV1; SAAV2"
"Eudynamys scolopaceus","David_2011_tree_focal_watches; Kamruzzaman_2008; Palita_2011"
"Euphagus carolinus","M_SD_001"
"Euphonia chlorotica","Athie_2009; Blendinger_2015; de_Oliveira_1999; Malacco_da_Silva_2014; Marcos_da_Silva_2013"
"Euphonia cyanocephala","Athie_2009; Blendinger_2015"
"Euphonia laniirostris","Quitian_2018_1000Fragmented; Quitian_2018_1000Natural"
"Euphonia mesochrysa","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2; Dehling_2017_San_Pedro_3; Dehling_2017_San_Pedro_4"
"Euphonia musica","M_SD_003; M_SD_004; M_SD_006"
"Euphonia pectoralis","Machado_de_Souza_2019"
"Euphonia violacea","Athie_2009; de_Oliveira_1999; M_SD_010_single_partners_added; Machado_de_Souza_2019"
"Euphonia xanthogaster","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2; Dehling_2017_San_Pedro_3; Dehling_2017_San_Pedro_4; Kessler_Rios_2012; Quitian_2018_1000Fragmented; Quitian_2018_1000Natural; SAAV1"
"Eurillas ansorgei","Menke_2012_edge_little_dist; Menke_2012_interior_highly_dist; Menke_2012_interior_little_dist"
"Eurillas curvirostris","Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist; Menke_2012_interior_highly_dist; Menke_2012_interior_little_dist"
"Eurillas gracilis","Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist; Menke_2012_interior_little_dist"
"Eurillas latirostris","Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist; Menke_2012_interior_highly_dist; Menke_2012_interior_little_dist"
"Eurillas virens","Menke_2012_edge_little_dist; Menke_2012_interior_little_dist"
"Ficedula hypoleuca","Albrecht_102_2012; Albrecht_112_2011; Albrecht_112_2012; Albrecht_15_2012; Albrecht_30_2012; Albrecht_301_2012; Albrecht_315_2011; Costa_2013_endozoochory; Cruz_2013_Autumn; Fuentes_1994; M_SD_020"
"Ficedula narcissina","Noma_1997"
"Ficedula parva","Albrecht_315_2011; Albrecht_315_2012"
"Finschia novaeseelandiae","MacFarlane_2016; Odonnell_1994; Wyman_2017"
"Formicivora rufa","Malacco_da_Silva_2014"
"Forpus xanthopterygius","Athie_2009; Marcos_da_Silva_2013; Robinson_2015"
"Fringilla coelebs","Albrecht_11_2012; Albrecht_112_2011; Albrecht_112_2012; Albrecht_13_2012; Albrecht_15_2012; Albrecht_203_2012; Albrecht_30_2012; Albrecht_301_2012; Albrecht_315_2012; Albrecht_35_2012; Cruz_2013_Autumn; Cruz_2013_Winter; Garcia_2016; M_SD_020; M_SD_031; Odonnell_1994; Sorensen_1981; Traveset_1992"
"Funambulus layardi","Jayasekara_2007"
"Funambulus sublineatus","Jayasekara_2003"
"Gallicolumba xanthonura","Fricke_2018_Saipan"
