Species,Networks
cervus elaphus,Jaroszewicz_2013_column_names.csv; Peredo_2013_Pto_de_San_Lorenzo_column_names.csv
cettia cetti,Costa_2013_endozoochory_column_names.csv
chalcomitra amethystina,M_SD_034_column_names.csv
chalcomitra senegalensis,Daru_2015_column_names.csv; M_SD_034_column_names.csv
chalcophaps indica,Jayasekara_2007_column_names.csv
chelonoidis chathamensis,Nogales_2017_column_names.csv
chiroderma doriae,Faria_1996_column_names.csv; Hayashi_1996_column_names.csv; Pedro_1992_column_names.csv; Souza_Laurindo_2017_column_names.csv; Tavares_2007_column_names.csv
chiroderma salvini,Arias_Arone_2016_column_names.csv
chiroderma villosum,Lima_2016_column_names.csv; Lopez_and_Vaughn_2004_column_names.csv; Lou_2005_column_names.csv
chiroxiphia boliviana,Dehling_2017_San_Pedro_1_column_names.csv; Dehling_2017_San_Pedro_2_column_names.csv; Dehling_2017_San_Pedro_4_column_names.csv; SAAV1_column_names.csv; SAAV2_column_names.csv
chiroxiphia caudata,Fadini_2004_column_names.csv; M_SD_009_column_names.csv; M_SD_012_column_names.csv; Machado_de_Souza_2019_column_names.csv
chiroxiphia pareola,SARM_whole_network_from_paper_column_names.csv
chloris chloris,Odonnell_1994_column_names.csv
chlorocebus pygerythrus,Castley_2001_column_names.csv
chlorocebus sabaeus,Hovestadt_1997_column_names.csv
chlorochrysa calliparaea,Dehling_2017_San_Pedro_1_column_names.csv; Dehling_2017_San_Pedro_2_column_names.csv; Dehling_2017_San_Pedro_3_column_names.csv; Dehling_2017_San_Pedro_4_column_names.csv; Quitian_2018_1000Fragmented_column_names.csv; Quitian_2018_1000Natural_column_names.csv
chlorochrysa nitidissima,Kessler_Rios_2012_column_names.csv
chlorocichla flavicollis,M_SD_034_column_names.csv
chlorocichla flaviventris,M_SD_008_column_names.csv
chlorocichla laetissima,M_SD_034_column_names.csv; Menke_2012_edge_highly_dist_column_names.csv; Menke_2012_edge_little_dist_column_names.csv; Menke_2012_interior_highly_dist_column_names.csv; Menke_2012_interior_little_dist_column_names.csv
chlorophanes spiza,M_SD_010_single_partners_added_column_names.csv; Machado_de_Souza_2019_column_names.csv; Quitian_2018_1000Fragmented_column_names.csv; Quitian_2018_1000Natural_column_names.csv
chlorophonia cyanea,Dehling_2017_San_Pedro_1_column_names.csv; Dehling_2017_San_Pedro_2_column_names.csv; Dehling_2017_San_Pedro_3_column_names.csv; Dehling_2017_San_Pedro_4_column_names.csv; Kessler_Rios_2012_column_names.csv; Machado_de_Souza_2019_column_names.csv; SAAV1_column_names.csv
chloropsis aurifrons,Sethi_2012_column_names.csv; VELHO_column_names.csv
chlorornis riefferii,Dehling_2017_Wayqecha_1_column_names.csv; Dehling_2017_Wayqecha_2_column_names.csv; Dehling_2017_Wayqecha_3_column_names.csv; Dehling_2017_Wayqecha_4_column_names.csv
chlorospingus canigularis,Kessler_Rios_2012_column_names.csv; Quitian_2018_1000Fragmented_column_names.csv; Quitian_2018_1000Natural_column_names.csv
chlorospingus flavigularis,Dehling_2017_San_Pedro_1_column_names.csv; Dehling_2017_San_Pedro_2_column_names.csv; Dehling_2017_San_Pedro_3_column_names.csv; Dehling_2017_San_Pedro_4_column_names.csv; Quitian_2018_1000Fragmented_column_names.csv; Quitian_2018_1000Natural_column_names.csv; Zamora_Delgado_2008_column_names.csv
chlorospingus flavopectus,Blendinger_2015_column_names.csv; Dehling_2017_San_Pedro_1_column_names.csv; Dehling_2017_San_Pedro_2_column_names.csv; Dehling_2017_San_Pedro_3_column_names.csv; Dehling_2017_San_Pedro_4_column_names.csv; SAAV1_column_names.csv; SAAV2_column_names.csv
chlorospingus parvirostris,Dehling_2017_San_Pedro_1_column_names.csv; Dehling_2017_San_Pedro_2_column_names.csv; Dehling_2017_San_Pedro_4_column_names.csv; Zamora_Delgado_2008_column_names.csv
choeroniscus godmani,Preciado_Benitez_2015_column_names.csv
chrysocolaptes guttacristatus,Sethi_2012_column_names.csv
cinnyricinclus leucogaster,Daru_2015_column_names.csv; Hovestadt_1997_column_names.csv; M_SD_034_column_names.csv; Menke_2012_edge_highly_dist_column_names.csv; Menke_2012_edge_little_dist_column_names.csv; Menke_2012_interior_highly_dist_column_names.csv; Menke_2012_interior_little_dist_column_names.csv
cinnyris venustus,Daru_2015_column_names.csv
civettictis civetta,Engel_2000_column_names.csv
cleptornis marchei,Fricke_2018_Saipan_column_names.csv
cnemotriccus fuscatus,Machado_de_Souza_2019_column_names.csv
coccothraustes coccothraustes,Albrecht_102_2012_column_names.csv; Albrecht_111_2012_column_names.csv; Albrecht_112_2011_column_names.csv; Albrecht_13_2012_column_names.csv; Albrecht_15_2012_column_names.csv; Albrecht_203_2012_column_names.csv; Albrecht_30_2012_column_names.csv; Albrecht_301_2012_column_names.csv; Albrecht_315_2012_column_names.csv; Albrecht_36_2012_column_names.csv; M_SD_020_column_names.csv
cochoa viridis,VELHO_column_names.csv
coereba flaveola,Andrade_2011_column_names.csv; Athie_2009_column_names.csv; de_Oliveira_1999_column_names.csv; M_SD_003_column_names.csv; M_SD_004_column_names.csv; M_SD_005_column_names.csv; M_SD_006_column_names.csv; M_SD_010_single_partners_added_column_names.csv; M_SD_012_column_names.csv; Machado_de_Souza_2019_column_names.csv; Marcos_da_Silva_2013_column_names.csv; Quitian_2018_1000Fragmented_column_names.csv; Quitian_2018_1000Natural_column_names.csv; Robinson_2015_column_names.csv
colaptes auratus,M_SD_001_column_names.csv; Malmborg_1988_1980_column_names.csv; Malmborg_1988_1981_column_names.csv; Malmborg_1988_1982_column_names.csv
colaptes melanochloros,Marcos_da_Silva_2013_column_names.csv
colaptes rubiginosus,Dehling_2017_San_Pedro_1_column_names.csv; Dehling_2017_San_Pedro_2_column_names.csv
colius striatus,Daru_2015_column_names.csv; Engel_2000_column_names.csv; M_SD_034_column_names.csv; Menke_2012_edge_highly_dist_column_names.csv; Menke_2012_interior_highly_dist_column_names.csv
colobus angolensis,Engel_2000_column_names.csv
colobus guereza,M_SD_034_column_names.csv; Menke_2012_edge_highly_dist_column_names.csv; Menke_2012_edge_little_dist_column_names.csv; Menke_2012_interior_little_dist_column_names.csv
colobus polykomos,Hovestadt_1997_column_names.csv
columba janthina,Noma_1997_column_names.csv
columba larvata,M_SD_034_column_names.csv
columba palumbus,Albrecht_203_2012_column_names.csv; M_SD_020_column_names.csv; Snow_1988_DJF_column_names.csv; Snow_1988_JJA_column_names.csv; Snow_1988_MAM_column_names.csv; Snow_1988_SON_column_names.csv; Sorensen_1981_column_names.csv
columba pulchricollis,Chen_1999_column_names.csv
columba squamosa,M_SD_003_column_names.csv; M_SD_004_column_names.csv; M_SD_005_column_names.csv; M_SD_006_column_names.csv
columbina talpacoti,Robinson_2015_column_names.csv
conirostrum speciosum,Athie_2009_column_names.csv; M_SD_012_column_names.csv
coracina pectoralis,Hovestadt_1997_column_names.csv
corvus corax,M_SD_020_column_names.csv
corvus corone,M_SD_020_column_names.csv; Snow_1988_DJF_column_names.csv; Snow_1988_JJA_column_names.csv; Snow_1988_SON_column_names.csv
corvus culminatus,David_2011_tree_focal_watches_column_names.csv
corvus levaillantii,Kamruzzaman_2008_column_names.csv
corvus macrorhynchos,Palita_2011_column_names.csv
corvus splendens,Kamruzzaman_2008_column_names.csv
coryphospingus cucullatus,Malacco_da_Silva_2014_column_names.csv
coryphospingus pileatus,de_Oliveira_1999_column_names.csv
corythaeola cristata,Menke_2012_interior_highly_dist_column_names.csv
cossypha heuglini,M_SD_034_column_names.csv
cossypha niveicapilla,Hovestadt_1997_column_names.csv; M_SD_034_column_names.csv
cossypha polioptera,M_SD_034_column_names.csv
creurgops verticalis,Zamora_Delgado_2008_column_names.csv
cricetomys gambianus,Engel_2000_column_names.csv
crinifer piscator,Daru_2015_column_names.csv; Hovestadt_1997_column_names.csv
criniger barbatus,Hovestadt_1997_column_names.csv
crithagra citrinelloides,Menke_2012_edge_highly_dist_column_names.csv; Menke_2012_edge_little_dist_column_names.csv
crithagra mozambica,Menke_2012_edge_highly_dist_column_names.csv; Menke_2012_edge_little_dist_column_names.csv; Menke_2012_interior_highly_dist_column_names.csv
crotophaga ani,Nogales_2017_column_names.csv
crotophaga major,de_Oliveira_1999_column_names.csv
cuculus clamosus,M_SD_034_column_names.csv
cuculus varius,Palita_2011_column_names.csv
cyanerpes caeruleus,Dehling_2017_San_Pedro_4_column_names.csv; M_SD_010_single_partners_added_column_names.csv
cyanerpes cyaneus,Andrade_2011_column_names.csv; de_Oliveira_1999_column_names.csv; M_SD_010_single_partners_added_column_names.csv
cyanistes caeruleus,Costa_2013_endozoochory_column_names.csv; Fuentes_1994_column_names.csv; Garcia_2016_column_names.csv; Snow_1988_DJF_column_names.csv; Snow_1988_JJA_column_names.csv; Snow_1988_SON_column_names.csv; Sorensen_1981_column_names.csv
cyanocorax caeruleus,Machado_de_Souza_2019_column_names.csv
cyanocorax chrysops,Blendinger_2015_column_names.csv
cyanocorax cristatellus,M_SD_012_column_names.csv
cyanocorax cyanomelas,SAAV1_column_names.csv
cyanocorax yncas,Dehling_2017_San_Pedro_1_column_names.csv; Dehling_2017_San_Pedro_2_column_names.csv; Kessler_Rios_2012_column_names.csv; Quitian_2018_2000Fragmented_column_names.csv; Quitian_2018_2000Natural_column_names.csv; SAAV1_column_names.csv
cyanomitra olivacea,M_SD_034_column_names.csv
cyanomitra verticalis,M_SD_034_column_names.csv
cyanopica cooki,Costa_2013_endozoochory_column_names.csv
cyanoramphus auriceps,Odonnell_1994_column_names.csv
cyanoramphus novaezelandiae,Garcia_2014_Zealandia_column_names.csv
cyclarhis gujanensis,Andrade_2011_column_names.csv; Athie_2009_column_names.csv; Faustino_2006_column_names.csv; M_SD_009_column_names.csv; M_SD_012_column_names.csv; Malacco_da_Silva_2014_column_names.csv; Robinson_2015_column_names.csv
cynopterus sphinx,Jayasekara_2007_column_names.csv
