"species","networks"
"Cletus rusticus","M_PL_054"
"Cletus trigonus","M_PL_054"
"Clytolaema rubricauda","M_PL_063; M_PL_069_01; M_PL_074_10; M_PL_074_18"
"Coccinella transversoguttata","M_PL_045"
"Coeligena coeligena","M_PL_074_03; M_PL_074_16"
"Coeligena lutetiae","M_PL_068"
"Coeligena torquata","M_PL_074_02; M_PL_074_03; M_PL_074_05; M_PL_074_12"
"Coeligena violifer","M_PL_074_12"
"Coeligena wilsoni","M_PL_074_01; M_PL_074_02; M_PL_074_05"
"Coelioxys fenestrata","M_PL_054"
"Coelioxys sayi","M_PL_073"
"Coelioxys yanonis","M_PL_054"
"Colias erate","M_PL_056"
"Colibri coruscans","M_PL_074_01; M_PL_074_02; M_PL_074_03; M_PL_074_16"
"Colibri cyanotus","M_PL_074_01; M_PL_074_03"
"Colibri delphinae","M_PL_074_01"
"Colibri serrirostris","M_PL_074_09; M_PL_074_11; M_PL_074_17"
"Colibri thalassinus","M_PL_070"
"Colletes babai","M_PL_057"
"Colletes inaequalis","M_PL_033"
"Colletes patellatus","M_PL_055"
"Colletes perforator","M_PL_044"
"Colletes seminitidus","M_PL_051"
"Colletes thoracicus","M_PL_073"
"Colocasiomyia alocasiae","M_PL_044"
"Colocasiomyia xenalocasiae","M_PL_044"
"Colpodes ishidai","M_PL_044"
"Colpura lativentristi","M_PL_057"
"Comptosia sylvana","M_PL_019"
"Condica capensis","M_PL_060_05"
"Conocephalus japonicus","M_PL_055"
"Conogethes punctiberalis","M_PL_044"
"Conophorus virescens","M_PL_058"
"Conops flavipes","M_PL_056"
"Coptosoma parvipictum","M_PL_055"
"Coraebus rusticanus","M_PL_057"
"Corennys sericata","M_PL_056"
"Corymbas nipponica","M_PL_057"
"Corymbia succedanea","M_PL_056"
"Corymbia variicornis","M_PL_056"
"Corynura prothysteres","M_PL_051"
"Cosmia variegata","M_PL_056"
"Cottetes palellatus","M_PL_055"
"Cratopus aurostriatus","M_PL_061_04; M_PL_061_05; M_PL_061_06; M_PL_061_08; M_PL_061_09; M_PL_061_10; M_PL_061_13; M_PL_061_14; M_PL_061_16; M_PL_061_17; M_PL_061_19; M_PL_061_21; M_PL_061_22; M_PL_061_27; M_PL_061_30; M_PL_061_36; M_PL_061_37; M_PL_061_38; M_PL_061_39; M_PL_061_40; M_PL_061_45; M_PL_061_47"
"Cratopus psittacus","M_PL_060_17"
"Criorhina apicalis","M_PL_056"
"Criorhina japonica","M_PL_057"
"Crossocerus walkeri","M_PL_057"
"Cryptocephalus approximatus","M_PL_056"
"Cryptocephalus perelegans","M_PL_044"
"Cryptogonus horishanus","M_PL_044"
"Cryptogonus orbiculus","M_PL_044"
"Cryptophagus cellaris","M_PL_057"
"Curculio convexus","M_PL_056"
"Cynanthus latirostris","M_PL_065"
"Cyphon puncticeps hisamatsui","M_PL_044"
"Cyphon sinuosus","M_PL_044"
"Cyphon variabilis","M_PL_033"
"Cyphononyx dorsalis","M_PL_054; M_PL_055"
"Cyrtothyrea marginalis","M_PL_013"
"Daimio tethys","M_PL_057"
"Dasysyrphus bilineatus","M_PL_056; M_PL_057"
"Dasysyrphus tricinctus","M_PL_056"
"Dasytes vulgaris","M_PL_054; M_PL_056; M_PL_057"
"Deferunda rubrostigma","M_PL_044"
"Demonax transilis","M_PL_057"
"Demotina major","M_PL_044"
"Denticollis nipponensis","M_PL_057"
"Dere thoracica","M_PL_054; M_PL_057"
"Dermestes haemorrhoidalis","M_PL_054"
"Dexopollenia flava","M_PL_056"
"Dialictus abanci","M_PL_025"
"Dialictus cressonii","M_PL_004; M_PL_025"
"Dialictus imitatus","M_PL_004"
"Dialictus pilosus","M_PL_033"
"Diasemia litterata","M_PL_055"
"Dichaetomyia fasciculifera","M_PL_061_06; M_PL_061_18; M_PL_061_19; M_PL_061_24; M_PL_061_26; M_PL_061_27; M_PL_061_36; M_PL_061_37; M_PL_061_39; M_PL_061_40; M_PL_061_46"
"Dicranoncus femoralis","M_PL_057"
"Dictyophara patruelis","M_PL_044"
"Didea alneti","M_PL_044; M_PL_056"
"Didea fasciata","M_PL_054; M_PL_056; M_PL_057"
"Didea nikkoensis","M_PL_056"
"Diglyphus minoeus","M_PL_056"
"Dilophus caurinus","M_PL_033"
"Dinoptera minuta","M_PL_057"
"Dinoptera minuta ticollis","M_PL_057"
"Dioctria nakanensis","M_PL_056"
